Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.9643753170967102,0.11399631202220917,0.9761521816253662,0.09938917309045792
2,0.9756648540496826,0.06958556920289993,0.9751178026199341,0.09764736890792847
3,0.983191192150116,0.04939720034599304,0.973968505859375,0.11481410264968872
4,0.9949824213981628,0.018810220062732697,0.9800597429275513,0.11649391055107117
5,0.9879578351974487,0.046488530933856964,0.9681071043014526,0.13251787424087524
