Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.9325931668281555,0.17978735268115997,0.9847411513328552,0.04911065474152565
2,0.9377478361129761,0.17697712779045105,0.9776566624641418,0.060814931988716125
3,0.9448850154876709,0.13677878677845,0.9846048951148987,0.046570759266614914
4,0.9518239498138428,0.12048988789319992,0.9881471395492554,0.044687945395708084
5,0.9518239498138428,0.12154513597488403,0.9849681854248047,0.053428854793310165
